Model,Best_CV_Score,Train_R2,Test_R2,Train_MSE,Test_MSE,Train_MAE,Test_MAE,Train_RMSE,Test_RMSE
XGBoost,0.9191004909470117,0.990116628683139,0.9368147019549034,2.523739189395278,18.461261626184136,0.9647714933945765,2.855000101630367,1.5886280840383247,4.296657029154659
Random Forest,0.8901707493714438,0.9776891341313427,0.910955214362089,5.697125478429857,26.016797181769864,1.7037902849528823,3.7175588829686825,2.386865199048714,5.100666346838407
Extra Trees,0.8759051079028745,0.9463527192726728,0.8859421379984178,13.698943451114392,33.32503123482251,2.7564448051934147,4.204068737809725,3.7012083771539253,5.772783664301175
