Model,Best_CV_Score,Train_R2,Test_R2,Train_MSE,Test_MSE,Train_MAE,Test_MAE,Train_RMSE,Test_RMSE
XGBoost,0.9198500679377064,0.9901707140389016,0.9358742192997667,2.509928382583069,18.73604859227512,0.9641824225881206,2.851758984807711,1.5842753493578916,4.3285157493389255
Random Forest,0.8907076984074062,0.9777169095251578,0.9103964393340566,5.690032974503353,26.180058134900488,1.7002434243843159,3.716157323481574,2.385379000180758,5.116645203148298
Extra Trees,0.8768527573736558,0.943285864720196,0.8872302350594311,14.482071067604595,32.9486794951138,2.7302597120502576,4.181066134988653,3.8055316405995883,5.740094031905209
