Model,Train_R2,Test_R2,Train_MSE,Test_MSE,Train_MAE,Test_MAE,Train_RMSE,Test_RMSE,Train_ExplainedVar,Test_ExplainedVar
XGBoost,0.9886237681763227,0.9366125005103101,2.9049441896490964,18.52034014421477,1.0793174683158078,2.925755114389296,1.7043896824520783,4.3035264776941675,0.9886239683063149,0.9371699008713458
Extra Trees,0.9823233277014278,0.9118757796566311,4.5137746208014535,25.747829601140623,1.3786569935061421,3.4937423126469387,2.124564572047989,5.074231922285443,0.9823233277014278,0.9124044677204585
Random Forest,0.9735598962366038,0.9075145476663914,6.75153486599482,27.022079264833515,1.7459484822189915,3.6813657495327954,2.5983715796619276,5.198276566789565,0.9735600734673356,0.9083566404070251
