Model,Train_R2,Test_R2,Train_MSE,Test_MSE,Train_MAE,Test_MAE,Train_RMSE,Test_RMSE,Train_ExplainedVar,Test_ExplainedVar
XGBoost,0.9887516875417713,0.935576664007947,2.8722797166352625,18.82298726725958,1.0774941838914482,2.880764206274231,1.6947801381404204,4.338546676856154,0.9887521168654122,0.9359497838345281
Extra Trees,0.9824073454386738,0.9151525882777658,4.492320518826126,24.790423003002456,1.3650327318692261,3.5060887410884787,2.119509499583837,4.978998192709298,0.9824073454386738,0.9155012016667501
Random Forest,0.9735749553868144,0.9082144539515682,6.74768948102172,26.817583069607245,1.7498175703506644,3.665379682070683,2.5976315137104646,5.178569596868159,0.9735755085179618,0.9090861751805951
