Model,Training_Time,Train_R2,Test_R2,Train_MSE,Test_MSE,Train_MAE,Test_MAE,Train_RMSE,Test_RMSE,Train_ExplainedVar,Test_ExplainedVar,Test_MaxError,Test_MedianAE,CV_Mean,CV_Std,CV_Min,CV_Max
XGBoost,0.750924825668335,0.9928361860222682,0.9382674479687633,1.82929463049674,18.036803325471173,0.7189260251960945,2.7570271816063876,1.3525141886489547,4.246975785835278,0.9928362746497212,0.9388307583423485,23.817096252441402,1.7665771484374986,0.9230549209095296,0.014399134585004879,0.9010289887513409,0.9383545185508697
Random Forest,0.6809306144714355,0.9673001859273482,0.9017185789660264,8.349964765595837,28.715525333225003,2.0295295081192766,3.87101747405284,2.8896305586693667,5.358686903824948,0.9673002124105519,0.9024760059994132,26.444591081349188,2.900336409146462,0.8955923028121825,0.012681322988353517,0.8791883372648268,0.9132306588434355
Extra Trees,0.4719247817993164,0.9625360717288162,0.8925643902317504,9.566491122859974,31.390164504481564,2.172328374320998,3.982306463692674,3.092974478210251,5.602692611993056,0.9625360717288162,0.8933349741176084,26.495571375665655,2.8455124769584685,0.8895360489172408,0.012921069476622872,0.8688527459048173,0.905337955699282
