Model,Best_CV_Score,Train_R2,Test_R2,Train_MSE,Test_MSE,Train_MAE,Test_MAE,Train_RMSE,Test_RMSE
XGBoost,0.9193807855553642,0.9839262926505019,0.9366522130261462,4.104454224804221,18.508737078828243,1.3738960525882777,2.8503690151195618,2.025945266981372,4.3021781784147715
Random Forest,0.8893064570973929,0.9777027481494333,0.9108086279512052,5.693649110915299,26.05962629179857,1.7011527218914795,3.6929182015707323,2.3861368592172787,5.104863004214566
Extra Trees,0.877605150873153,0.9461179687539275,0.8875585633544376,13.758887478804386,32.852749670598826,2.760319937473403,4.183214366424808,3.709297437359855,5.731731821238571
