Model,Train_R2,Test_R2,Train_MSE,Test_MSE,Train_MAE,Test_MAE,Train_RMSE,Test_RMSE,Train_ExplainedVar,Test_ExplainedVar
XGBoost,0.9884618212908215,0.9336201966961544,2.9462976598807185,19.394621112846618,1.0864852153958373,2.937033207072547,1.7164782724755703,4.403932460068685,0.9884622534993811,0.9342749537202196
Extra Trees,0.9822827108128184,0.9131350448372874,4.524146226830263,25.3799018604145,1.377633987142007,3.5282219475001413,2.1270040495566205,5.037846946902466,0.9822827108128184,0.9136356891144438
Random Forest,0.9735166914064514,0.9078125837377576,6.76256730821834,26.935000117345673,1.7514009848303944,3.674490786783412,2.6004936662523024,5.189894037198223,0.9735171806954012,0.9086515719855649
