Model,Training_Time,Train_R2,Test_R2,Train_MSE,Test_MSE,Train_MAE,Test_MAE,Train_RMSE,Test_RMSE,Train_ExplainedVar,Test_ExplainedVar,Test_MaxError,Test_MedianAE,CV_Mean,CV_Std,CV_Min,CV_Max
XGBoost,0.40730953216552734,0.9929375071117258,0.9414849631214105,1.8034220819524962,17.096720887673115,0.7137612930696402,2.6429742580622584,1.3429155155677128,4.134818120265161,0.9929376597915109,0.9418109802118783,22.19306518554687,1.5426228332519543,0.9189090569728183,0.012518828018190738,0.8980117052015684,0.9319108945696581
Random Forest,0.5685582160949707,0.966719789378605,0.902019665715915,8.498170217813755,28.627554849048376,2.048908260217088,3.890674817320467,2.915162125476687,5.350472394943121,0.9667214443960763,0.9028860219573248,26.53849978986291,2.890441607142858,0.8933170967508712,0.014036156873345217,0.872791988209928,0.9105539542629821
Extra Trees,0.34214138984680176,0.9628527765215584,0.893861587832457,9.48561990277848,31.011153800592645,2.1782980054948107,3.964861585004221,3.0798733582370685,5.56876591361072,0.9628527765215584,0.894473085235059,26.52027410791281,2.959910402274609,0.887626011942268,0.012132945535184333,0.8690201791837049,0.901469463950449
